Company,Y,predict
ADUS,-4.459401779558073,6.962613
ADVS,2.682898415373701,-12.554378
ADX,-5.0512340573479815,-5.0870976
ADY,-42.93769299832115,-12.807787
AE,11.198145259046367,4.0237126
AEA,0.9399790253954821,3.3076053
AEB,-13.33048792427099,1.8569709
AEC,-4.770495498986757,7.1003475
AED,-4.6154451543266655,2.1737297
AEE,6.311936504039132,-1.0023903
AEG,-1.667639765828088,1.065993
AEGR,16.485536986571233,3.699887
AEHR,-34.23819659267784,-8.443894
AEIS,7.665901458496985,-9.517323
AEL,4.246223041989473,-26.096409
AEM,0.9881073676414782,-3.4999092
AEN,36.75206428885375,-9.6499
AEO,4.187917453103021,-17.271729
AEP,0.09041782994956628,-5.2465515
AEPI,-5.352085233572971,7.0447907
AER,-9.603209253633587,-1.0283053
AERG,-84.7070797981339,-9.928175
AERL,-3.4741386216633385,4.16455
AES,7.082947471051903,-2.115688
AET,3.599950330990904,-0.15168656
AETI,6.80248788436077,6.962613
AEV,-3.6392409538860826,1.8569709
AEY,-8.476587601255176,-7.6395316
AEZS,-6.104138621663322,-8.185353
AF,-5.66978848903734,-40.20841
AFAM,-8.967365074569148,-9.325845
AFB,0.15282516663749773,-33.066936
AFCE,9.87516074139399,7.2597675
AFE,-1.9573132248379457,2.4476416
AFFM,-50.77519125324228,-9.506972
AFFY,-1.7848786596140105,-19.462849
AFG,2.3680836005588963,-0.03199237
AFL,-1.2721865037996165,-14.100456
AFOP,-2.8716030459841515,5.248135
AFQ,-2.7458346655332826,2.4476416
AG,-5.548241815766525,3.248268
AGCO,3.809795804566175,4.4651303
AGD,-8.037975211361385,-16.926884
AGEN,-16.403725398522834,-10.428205
AGII,-0.9889509083527466,6.772185
AGL,-0.07424534007226499,-4.0424995
AGM,-13.713761929491488,0.20239757
AGN,-0.024946075079479785,-0.05176618
AGNC,2.455899719222,-14.639801
AGO,-24.519087075271592,-18.960484
AGP,0.6544323071454798,-1.1626145
AGRO,-11.850035456364395,6.2413263
AGU,-14.927363368055696,1.2158214
AGX,7.0744328069080975,4.0355706
AGYS,-1.1241263215403154,7.0063596
AH,-2.1375008400342304,6.8896537
AHC,-14.460676151929677,-9.243779
AHGP,2.2038724280604267,-4.3013725
AHL,1.9822113029218795,-17.217
AHPI,1.8009860320762758,-8.481803
AHS,-1.0469490791796825,-8.547875
AI,-12.634981149246066,-27.710201
AIMC,13.260292043500128,-8.510949
AIN,10.176776464898918,3.8695297
AINV,-10.537217678528796,-36.146854
AIQ,4.203238427516999,-13.5637665
AIR,-4.9828352262635365,4.130377
AIRM,0.8297067698133674,7.0432878
AIS,13.6763957294817,0.85850275
AIT,2.3663942483048173,5.102944
AIXG,-7.1706523831312285,-16.535114
AIZ,3.3543221326689845,-14.296541
AJG,1.1319814558060068,1.9243897
AKAM,5.497815719395122,-3.945257
AKP,0.8260733924709489,-32.72327
AKR,-3.78416926517713,5.814592
AKRX,5.731363237072718,4.184532
AKS,3.3196202435848976,-8.174241
AL,-2.9339780507445066,1.5192816
ALB,4.174377791320349,-0.4573051
ALC,-1.4079959724639106,-26.300016
ALCO,-26.657371620548506,0.9095807
ALE,1.334694502552472,-2.5137525
ALEX,-8.556302781072153,11.983344
ALG,17.469805040308493,4.207364
ALGN,8.992800153846877,-11.307483
ALGT,-1.2212661178230957,4.1565604
ALIM,-462.2026234701482,4.456837
ALJ,12.850539740909774,8.835104
ALK,3.134193271162944,1.1967894
ALKS,-12.687689962408932,1.2696427
ALL,0.2587766452272943,-11.931209
ALLB,-4.708283964549723,-3.9342046
ALLT,11.940048804196687,4.4058585
ALN,-7.0416386216633375,-8.9762
ALNC,-0.5997526567510548,-6.5194154
ALNY,-11.227378058283064,-10.697
ALOG,4.948128830577332,0.88071
ALR,-10.520021477584669,2.1962414
ALRN,5.641261148325161,2.2158456
ALSK,-35.06441899549511,-47.407322
ALTE,4.704684907748435,1.5242401
ALTH,-10.624815313392649,-15.066842
ALTI,-43.65848644775029,-15.299693
ALTR,-1.8763048016474069,-1.1934737
ALU,-56.67512627598432,-1.6277777
ALV,-4.92545994298465,-14.0015545
ALVR,-30.589432739310396,-10.604006
ALX,-3.2214894196764954,7.9451227
ALXA,-36.448004327657536,-10.543213
ALXN,1.1267818560529503,0.48216525
AM,6.239151549025303,5.505262
AMAC,-2.354138621663334,-1.5150198
AMAG,21.07282767047149,-12.776722
AMAP,-14.335705441939838,-9.952782
AMAT,-12.929277768231056,-0.271329
AMBO,-0.16435759976553138,-10.91324
AMBT,-8.180736373231563,4.27941
AMCC,13.061410976191898,-10.477939
AMCF,18.2428763037098,-7.133964
AMCN,13.56177729425259,-10.978672
AMD,4.499991431060754,-2.2675548
AME,8.920371182258249,-2.236573
AMED,12.894387073366143,-12.632042
AMG,4.074961515800977,2.5832546
AMGN,1.7384187950177181,-9.954998
AMKR,-8.209994477519185,0.95016366
AMLN,-5.50228676981148,-13.661624
