,WeekLow,RecentPrice,WeekHigh,Beta,DailyVolume3,DailyVolume10,WeekChange,WeekChangeWSP,MarketCapitalization,SharesOutstanding,FL,AnnualDividend,DividendYield,BookValue,Earningsttm,Earnings,Salesttm,Sales,Cash,PriceBook,PriceEarnings,PriceSales,EBITDA,Income,ProfitMargin,OperatingMargin,ReturnAssets,CurrentRatio,DebtEquity,TotalCash,SharesShortPD,SharesShort,PercentofFloat,ShortRatio,LastSplit,SharesADR,TermDebtEquityLong,ReturnEquity,DailyVolume,Company
106,11.875,17.36,38.75,2.48,2030000.0,2700000.0,-391.0,-539.0,14200000000.0,8170000.0,7920000.0,0.0,0.0,10.06,2.37,0.09,4.67,39100000.0,11.01,1.73,732.0,372.0,5450000.0,19770000.0,506.0,91.0,1781.0,3.57,0.0,89430000.0,3510000.0,2970000.0,44.0,1.4,0.0,0.0,0.0,2458.0,2510000.0,AFCI
107,13.98,16.28,92.0,1.8,1020000.0,98800000.0,-630.0,-719.0,94160000.0,5780000.0,4050000.0,0.0,0.0,2.32,-1.09,-0.16,3.79,21960000.0,6.43,7.01,0.0,429.0,-5850000.0,-6150000.0,-280.0,-324.0,-1021.0,7.51,279.0,37200000.0,4130000.0,3540000.0,102.0,4.64,0.0,0.0,0.0,-4134.0,89000000.0,AFFX
108,18.35,21.14,30.75,1.07,18820000.0,15100000.0,313.0,-5.0,14400000000.0,6800000.0,4350000.0,100.0,473.0,22.97,-1.52,0.09,61.79,39400000000.0,4.24,0.92,0.0,34.0,0.0,-8860000.0,14.0,18.0,34.0,0.0,50.0,28840000.0,65000000.0,86100000.0,15.0,6.99,0.0,0.0,0.0,-605.0,9300000.0,AFG
109,23.0,26.05,37.469,1.06,1970000.0,3010000.0,67.0,-191.0,13700000000.0,52470000.0,46700000.0,20.0,77.0,10.35,1.22,0.28,17.9,97200000000.0,1.4,2.52,2141.0,146.0,0.0,66100000.0,68.0,106.0,174.0,0.0,25.0,73600000.0,3920000.0,3150000.0,8.0,2.51,0.0,0.0,0.0,1400.0,1560000.0,AFL
110,0.61,1.0,14.0,0.0,3500000.0,3400000.0,-862.0,-871.0,3500000.0,3500000.0,8100000.0,0.0,0.0,1.98,-3.93,-0.5,1.21,2670000.0,1.64,0.51,0.0,82.0,-1620000.0,-4040000.0,-958.0,0.0,-4122.0,13.2,0.0,5730000.0,18600000.0,29100000.0,23.0,7.44,0.0,0.0,0.0,-8579.0,2500000.0,AFOP
111,5.313,6.6,7.39,0.0,1070000.0,6000.0,131.0,56.0,4500000.0,6820000.0,6700000.0,0.0,0.0,8.3,0.52,0.14,0.85,4950000.0,1.43,0.8,1274.0,777.0,3140000.0,2750000.0,561.0,561.0,363.0,0.0,6.0,9760000.0,2000.0,2000.0,0.0,0.17,0.0,0.0,0.0,489.0,1200000.0,AFREZ
112,7.9,9.68,12.45,0.63,28410000.0,20700000.0,81.0,-181.0,69650000.0,7200000.0,3170000.0,4.0,41.0,11.55,0.15,0.08,37.84,23500000000.0,0.25,0.84,6411.0,26.0,9520000.0,9900000.0,0.0,33.0,-2.0,1.93,89.0,1770000.0,1270000.0,1240000.0,40.0,2.69,0.0,0.0,0.0,126.0,47000000.0,AG
113,0.15,0.32,15.375,0.17,4570000.0,20200000.0,-972.0,-979.0,4770000.0,1490000.0,3000000.0,12.0,3750.0,5.51,-3.73,-1.92,17.2,25750000.0,0.49,0.06,0.0,2.0,-3630000.0,-5550000.0,-216.0,-218.0,-1297.0,2.34,232.0,7370000.0,3900000.0,3900000.0,13.0,1.95,0.0,0.0,0.0,-4519.0,2000000.0,AGA
114,29.76,35.07,52.188,1.36,37910000.0,44700000.0,-15.0,-254.0,28000000000.0,7990000.0,7830000.0,64.0,182.0,20.69,2.32,0.5,31.23,25400000000.0,2.93,1.7,1514.0,112.0,48820000.0,18870000.0,75.0,134.0,371.0,0.0,36.0,0.0,1750000.0,1620000.0,22.0,5.62,0.0,0.0,0.0,1150.0,31200000.0,AGE
115,10.25,14.02,21.38,0.0,9750000.0,9600000.0,416.0,73.0,40640000.0,2900000.0,1480000.0,0.0,0.0,3.74,-2.02,-0.31,0.1,2600000.0,2.98,3.75,0.0,14212.0,-5790000.0,-5330000.0,0.0,0.0,-4541.0,11.02,4.0,8160000.0,1310000.0,1520000.0,89.0,22.22,0.0,0.0,0.0,-4869.0,5900000.0,AGEN
