ALSE.PK,0.024,0.06
ALSEA.MX,9.620,13.790
ALSK,5.91,7.07
ALSWF.PK,3.9604,4.987
ALT,48.90,49.57
ALT.V,0.12,0.115
ALTE,18.21,21.68
ALTH,1.68,1.47
ALTI,1.15,1.34
ALTO.OB,0.0006,0.0009
ALTR,30.87,37.92
ALU,2.42,2.74
ALU.V,0.095,0.145
ALUM,8.92,10.51
ALV,46.14,57.77
ALVLF.PK,0.0315,0.0301
ALVR,1.00,1.17
ALX,333.00,433.70
ALXA,1.07,1.39
ALXN,60.87,67.51
ALYI.PK,0.125,0.15
ALZM.OB,0.088,0.051
AM,17.83,16.01
AMA.V,0.155,0.185
AMAC,8.38,8.60
AMAG,13.90,14.11
AMAP,12.91,12.87
AMAR.OB,0.048,0.04
AMAT,9.85,12.32
AMBK.OB,6.25,6.25
AMBO,6.65,6.70
AMBT,8.06,6.79
AMCBF.PK,12.84,12.84
AMCC,4.81,6.74
AMCF,1.86,2.68
AMCG.OB,0.0029,0.0025
AMCN,2.31,2.72
AMCRY.PK,25.61,29.19
AMD,4.53,5.83
AME,31.43,39.52
AMED,13.40,13.13
AMEH.PK,0.1888,0.1688
AMEL.OB,0.16,0.154
AMFC.OB,4.25,4.15
AMG,72.88,92.61
AMGN,53.90,57.27
AMH.V,0.03,0.03
AMHD.PK,0.0003,0.0002
AMHN.OB,0,1.00
AMHND.OB,0.01,0
AMIN.OB,0.30,0.29
AMJ,33.19,37.48
AMK.V,0.055,0.055
AMKR,4.27,4.84
AMKT.OB,1.20,1.10
AML.V,0.06,0.065
AMLN,8.26,11.52
AMLP,14.99,16.15
AMM,9.83,10.14
AMMX.PK,0.018,0.015
AMN,84.94,0.00
AMNB,17.94,18.72
AMNL.OB,1.25,1.42
AMNP.OB,0.018,0.013
AMNT.PK,0.0001,0.0001
AMOK.OB,0.065,0.085
AMOT,4.86,5.20
AMOV,21.531,25.53
AMP,37.34,46.68
AMPE,5.92,7.11
AMPL,0.3003,0.4819
AMPW.OB,0.30,0.29
AMR,1.98,2.63
AMRB,4.80,4.98
AMRC,9.21,10.99
AMRI,2.88,3.21
AMRN,8.37,9.40
AMRS,18.32,20.50
AMSC,3.42,4.36
AMSF,18.12,21.55
AMSG,21.70,25.33
AMSWA,6.99,7.82
